text,label,exp_split,ChatGPT Response
<user> lmao yes i ’ m asian 😅 that ’ why i said “ any other asians ” teehee,0,train,"{
  ""text"": ""<user> lmao yes i ’ m asian 😅 that ’ why i said “ any other asians ” teehee"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
<user> another muzzie sticks his camel in american business,1,train,"{
  ""text"": ""<user> another muzzie sticks his camel in american business"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""muzzie"",
    ""camel""
  ],
  ""cuss_words"": []
}"
<user> not me bitch,0,train,"{
  ""text"": ""<user> not me bitch"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""bitch""
  ]
}"
<user> you know that muslims are real brits right,0,train,"{
  ""text"": ""<user> you know that muslims are real brits right"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
responsibility of an immigrants ’ son 😌,0,train,"{
  ""text"": ""responsibility of an immigrants ’ son 😌"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
oh this is getting niggerish,1,train,"{
  ""text"": ""oh this is getting niggerish"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""niggerish""
  ]
}"
<user> naseeruddinshah is right and should preach this to rohingya muslims who desperately seeking shelter in intolerant india,0,train,"{
  ""text"": ""<user> naseeruddinshah is right and should preach this to rohingya muslims who desperately seeking shelter in intolerant india"",
  ""rationales"": [
    ""naseeruddinshah"",
    ""rohingya muslims"",
    ""intolerant india""
  ],
  ""derogatory_language"": [
    ""rohingya muslims"",
    ""intolerant india""
  ],
  ""cuss_words"": []
}"
who the hell invited this faggot,1,train,"{
  ""text"": ""who the hell invited this faggot"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""hell"",
    ""faggot""
  ]
}"
this ghetto bitch just sat behind me i hate it here,1,train,"{
  ""text"": ""this ghetto bitch just sat behind me i hate it here"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""ghetto bitch""
  ],
  ""cuss_words"": []
}"
so they are allowed to be racist against us white british but we can not say nigger wog fukin hell if they do not want to here it the best thing they can do is piss off back we are they came from,1,train,"{
  ""text"": ""so they are allowed to be racist against us white british but we can not say nigger wog fukin hell if they do not want to here it the best thing they can do is piss off back we are they came from"",
  ""rationales"": [
    ""white british"",
    ""they came from""
  ],
  ""derogatory_language"": [
    ""nigger"",
    ""wog"",
    ""fukin hell""
  ],
  ""cuss_words"": [
    ""nigger"",
    ""wog"",
    ""fukin hell""
  ]
}"
alex is my friend not a stupid nigger other alex is,1,train,"{
  ""text"": ""alex is my friend not a stupid nigger other alex is"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""stupid nigger""
  ],
  ""cuss_words"": [
    ""nigger""
  ]
}"
the gays are undoutably ruining the nation,1,train,"{
  ""text"": ""the gays are undoutably ruining the nation"",
  ""rationales"": [
    ""the gays""
  ],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
i amma slut her up though lol,1,train,"{
  ""text"": ""i amma slut her up though lol"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""slut""
  ]
}"
lmao i hate when i slide a homie a bitch and she end up being dummy smooth,1,train,"{
  ""text"": ""lmao i hate when i slide a homie a bitch and she end up being dummy smooth"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""bitch""
  ]
}"
<user> and the millions of freeloading illegal aliens are not contributing to the power usage at all suckers pisshole,1,train,"{
  ""text"": ""<user> and the millions of freeloading illegal aliens are not contributing to the power usage at all suckers pisshole"",
  ""rationales"": [
    ""freeloading illegal aliens""
  ],
  ""derogatory_language"": [
    ""suckers"",
    ""pisshole""
  ],
  ""cuss_words"": []
}"
<user> more good news a swede last name ends in son running in minnesota 5 th congr district against current radical towelhead who has had the seat bet the farm,1,train,"{
  ""text"": ""<user> more good news a swede last name ends in son running in minnesota 5 th congr district against current radical towelhead who has had the seat bet the farm"",
  ""rationales"": [
    ""swede"",
    ""radical towelhead""
  ],
  ""derogatory_language"": [
    ""towelhead""
  ],
  ""cuss_words"": []
}"
fuck nigga call blocked me 😂 😂,0,train,"{
  ""text"": ""fuck nigga call blocked me 😂 😂"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""fuck"",
    ""nigga""
  ]
}"
<user> more white trailer trash trump supporters,1,train,"{
  ""text"": ""<user> more white trailer trash trump supporters"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""white"",
    ""trailer trash"",
    ""trump supporters""
  ],
  ""cuss_words"": []
}"
niggas love you when they need you no these bitches be see through,1,train,"{
  ""text"": ""niggas love you when they need you no these bitches be see through"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""niggas"",
    ""bitches""
  ],
  ""cuss_words"": []
}"
<user> <user> another unsuccessfully vetted immigrant,0,train,"{
  ""text"": ""<user> <user> another unsuccessfully vetted immigrant"",
  ""rationales"": [
    ""unsuccessfully vetted immigrant""
  ],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
i realized women just retarded they will never look at shit the way you do,1,train,"{
  ""text"": ""i realized women just retarded they will never look at shit the way you do"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""retarded"",
    ""women""
  ],
  ""cuss_words"": []
}"
<user> parts of india are awful but immigrants do not become western because they will in the west ppl forget that,0,train,"{
  ""text"": ""<user> parts of india are awful but immigrants do not become western because they will in the west ppl forget that"",
  ""rationales"": [
    ""parts of india are awful"",
    ""immigrants do not become western""
  ],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
<user> <user> the gravidigger of islam seductress of atheists accidental defamator,0,train,"{
  ""text"": ""<user> <user> the gravidigger of islam seductress of atheists accidental defamator"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""gravidigger"",
    ""seductress"",
    ""defamator""
  ]
}"
new bitch season,1,train,"{
  ""text"": ""new bitch season"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""bitch""
  ]
}"
dykes love that lil black sports bra khaki pants combo,0,train,"{
  ""text"": ""dykes love that lil black sports bra khaki pants combo"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""dykes""
  ],
  ""cuss_words"": []
}"
<user> just hit on the back side of your railway minster jahil inshan the fat ugly gay guy most useless minster,1,train,"{
  ""text"": ""<user> just hit on the back side of your railway minster jahil inshan the fat ugly gay guy most useless minster"",
  ""rationales"": [
    ""railway minster"",
    ""jahil inshan"",
    ""fat"",
    ""ugly"",
    ""gay"",
    ""useless minster""
  ],
  ""derogatory_language"": [
    ""jahil"",
    ""inshan"",
    ""fat"",
    ""ugly"",
    ""gay"",
    ""useless""
  ],
  ""cuss_words"": []
}"
i ’ m try this relationship one more time before i marry a immigrant for <number> bands,0,train,"{
  ""text"": ""i ’ m try this relationship one more time before i marry a immigrant for <number> bands"",
  ""rationales"": [
    ""marry a immigrant""
  ],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
dese two dykes on fb arguin postin each other pics callin each other ugly sb den commented you all havin a dyke off im ctfu,0,train,"{
  ""text"": ""dese two dykes on fb arguin postin each other pics callin each other ugly sb den commented you all havin a dyke off im ctfu"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""dykes"",
    ""ugly""
  ],
  ""cuss_words"": [
    ""ctfu""
  ]
}"
<user> ackshully all arabs are white and islam is technically white imperialism,1,train,"{
  ""text"": ""<user> ackshully all arabs are white and islam is technically white imperialism"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""arabs"",
    ""islam""
  ],
  ""cuss_words"": []
}"
gays r cool faggots r not,1,train,"{
  ""text"": ""gays r cool faggots r not"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""faggots""
  ],
  ""cuss_words"": []
}"
<user> <user> wtf is this ching chong shittery english mf,1,train,"{
  ""text"": ""<user> <user> wtf is this ching chong shittery english mf"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""ching chong"",
    ""shittery"",
    ""mf""
  ],
  ""cuss_words"": [
    ""wtf""
  ]
}"
so none of you all hoes want to get that waist snatched hurd it,1,train,"{
  ""text"": ""so none of you all hoes want to get that waist snatched hurd it"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""hoes""
  ],
  ""cuss_words"": [
    ""hurd""
  ]
}"
all the hispanics who say the n word and asians who say the n word are real quiet now come out now,0,train,"{
  ""text"": ""all the hispanics who say the n word and asians who say the n word are real quiet now come out now"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""hispanics"",
    ""asians""
  ],
  ""cuss_words"": [
    ""n word""
  ]
}"
did i just hear you call that gay try again using words like stupid dumb lame or retarded thanks ☺ ️ 😘,0,train,"{
  ""text"": ""did i just hear you call that gay try again using words like stupid dumb lame or retarded thanks ☺ ️ 😘"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""stupid"",
    ""dumb"",
    ""lame"",
    ""retarded""
  ]
}"
<user> apparently there is some weird edl type plotline too one of the old main gay characters has been groomed to become a muzzy hater lmao,1,train,"{
  ""text"": ""<user> apparently there is some weird edl type plotline too one of the old main gay characters has been groomed to become a muzzy hater lmao"",
  ""rationales"": [
    ""edl type plotline"",
    ""groomed to become a muzzy hater""
  ],
  ""derogatory_language"": [
    ""muzzy""
  ],
  ""cuss_words"": [
    ""lmao""
  ]
}"
high iq but still retarded,1,train,"{
  ""text"": ""high iq but still retarded"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""retarded""
  ]
}"
putting mustard on macaroni is a thing outside of jail whew chile the ghetto,1,train,"{
  ""text"": ""putting mustard on macaroni is a thing outside of jail whew chile the ghetto"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""ghetto""
  ],
  ""cuss_words"": []
}"
knock off a cracker for callin me towelhead,1,train,"{
  ""text"": ""knock off a cracker for callin me towelhead"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""cracker"",
    ""towelhead""
  ],
  ""cuss_words"": []
}"
“ pick that cotton negro ” or whatever massa said,1,train,"{
  ""text"": ""“ pick that cotton negro ” or whatever massa said"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""negro""
  ],
  ""cuss_words"": []
}"
if you are a woman and you drive over <number> mph on the freeway you are a lesbian sorry i do not make the rules do not worry we will take care of you now,0,train,"{
  ""text"": ""if you are a woman and you drive over <number> mph on the freeway you are a lesbian sorry i do not make the rules do not worry we will take care of you now"",
  ""rationales"": [
    ""woman"",
    ""drive over <number> mph on the freeway"",
    ""lesbian""
  ],
  ""derogatory_language"": [
    ""lesbian""
  ],
  ""cuss_words"": []
}"
everytime i see diggs trending i get scared but it stefan diggs mane duck that nigger,1,train,"{
  ""text"": ""everytime i see diggs trending i get scared but it stefan diggs mane duck that nigger"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""nigger""
  ]
}"
<user> me to you 😂 or i am like you know what i take it back fuck you too hoe 💀,0,train,"{
  ""text"": ""<user> me to you 😂 or i am like you know what i take it back fuck you too hoe 💀"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""fuck"",
    ""hoe""
  ]
}"
if you refer to your girl as your bitch when talking to others you haven ’ t got enough respect for her 🥴,1,train,"{
  ""text"": ""if you refer to your girl as your bitch when talking to others you haven’t got enough respect for her 🥴"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""bitch""
  ]
}"
i stand with the muslim community 💛,0,train,"{
  ""text"": ""i stand with the muslim community 💛"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
<user> don ’ t retweet ls mark on my timeline he ’ homophobic for saying the f word <user>,0,train,"{
  ""text"": ""<user> don’t retweet ls mark on my timeline he’s homophobic for saying the f word <user>"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""f word""
  ]
}"
being ignored by a white man is basically him calling you a nigger,0,train,"{
  ""text"": ""being ignored by a white man is basically him calling you a nigger"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""white man"",
    ""nigger""
  ],
  ""cuss_words"": []
}"
<user> <user> yeah and virus will not effect muslim 🤣,1,train,"{
  ""text"": ""<user> <user> yeah and virus will not effect muslim 🤣"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
according to <user> a man who masturbated in front of women is way worse than a man who raped and murdered woman louisck tedbundy,1,train,"{
  ""text"": ""according to <user> a man who masturbated in front of women is way worse than a man who raped and murdered woman louisck tedbundy"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
dump that dick off in that hoe 🤣,1,train,"{
  ""text"": ""dump that dick off in that hoe 🤣"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""dick"",
    ""hoe""
  ]
}"
white people been overstaying they visas since <number>,0,train,"{
  ""text"": ""white people been overstaying they visas since <number>"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
<user> i would kike to meet,0,train,"{
  ""text"": ""<user> i would kike to meet"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
he a fucking pot smoking ass snitch molestor rapists and he looks like a fucking bitch and fucking little white boy that does not have shit up a desire to cry about everything what a fucking little faggot he wasn t ever worth shit,1,train,"{
  ""text"": ""he a fucking pot smoking ass snitch molestor rapists and he looks like a fucking bitch and fucking little white boy that does not have shit up a desire to cry about everything what a fucking little faggot he wasn t ever worth shit"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""fucking"",
    ""bitch"",
    ""faggot"",
    ""shit""
  ]
}"
<user> shameless never did anything fr kashmiri pandits and talking of humanity you jihadi funded third grade ngo,1,train,"{
  ""text"": ""<user> shameless never did anything fr kashmiri pandits and talking of humanity you jihadi funded third grade ngo"",
  ""rationales"": [
    ""kashmiri pandits"",
    ""humanity"",
    ""third grade ngo""
  ],
  ""derogatory_language"": [
    ""shameless"",
    ""jihadi"",
    ""funded""
  ],
  ""cuss_words"": [
    ""fr""
  ]
}"
<user> <user> never beleive a jihadi they garb as secular thats a reason ppl in general dont trust them,1,train,"{
  ""text"": ""<user> <user> never beleive a jihadi they garb as secular thats a reason ppl in general dont trust them"",
  ""rationales"": [
    ""jihadi"",
    ""ppl""
  ],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
can you be a student and a hoe at the same time,1,train,"{
  ""text"": ""can you be a student and a hoe at the same time"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""hoe""
  ]
}"
<user> <user> we need to end legal immigration also and deport all kennedy act immigrants,0,train,"{
  ""text"": ""<user> <user> we need to end legal immigration also and deport all kennedy act immigrants"",
  ""rationales"": [
    ""legal immigration"",
    ""kennedy act immigrants""
  ],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
bitches date one nigga and get to thinking they from the hood,1,train,"{
  ""text"": ""bitches date one nigga and get to thinking they from the hood"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""bitches"",
    ""nigga"",
    ""hood""
  ],
  ""cuss_words"": []
}"
<user> and hire illegal aliens to nanny so they can save money,1,train,"{
  ""text"": ""<user> and hire illegal aliens to nanny so they can save money"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
<user> dammit man get this ching chong shit off my feed,1,train,"{
  ""text"": ""<user> dammit man get this ching chong shit off my feed"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""ching chong""
  ],
  ""cuss_words"": [
    ""dammit""
  ]
}"
pretty and ghetto the type of bitch that won ’ t even say hello 👋,1,train,"{
  ""text"": ""pretty and ghetto the type of bitch that won ’ t even say hello 👋"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""bitch""
  ],
  ""cuss_words"": []
}"
yo can you all go ahead and get <user> up outta there too cuz if trumps gone and he president he gon be calling folks niggers and shocking gay people on live tv talkin about its jesus time bitches,0,train,"{
  ""text"": ""yo can you all go ahead and get <user> up outta there too cuz if trumps gone and he president he gon be calling folks niggers and shocking gay people on live tv talkin about its jesus time bitches"",
  ""rationales"": [
    ""<user>"",
    ""trumps""
  ],
  ""derogatory_language"": [
    ""niggers"",
    ""gay""
  ],
  ""cuss_words"": [
    ""bitches""
  ]
}"
crop this you fucking faggot,1,train,"{
  ""text"": ""crop this you fucking faggot"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""fucking"",
    ""faggot""
  ]
}"
men from ashtabula are fuckin hoes,1,train,"{
  ""text"": ""men from ashtabula are fuckin hoes"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""men"",
    ""ashtabula"",
    ""hoes""
  ],
  ""cuss_words"": [
    ""fuckin""
  ]
}"
i asked my non muslim friend to pick a hijab color that goes w my outfit amp she goes “ do they make clear heejabs so we can see ur hair ” i,1,train,"{
  ""text"": ""i asked my non muslim friend to pick a hijab color that goes w my outfit amp she goes “ do they make clear heejabs so we can see ur hair ” i"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
bouta put my professor on queer eye cuz this bitch can not dress,1,train,"{
  ""text"": ""bouta put my professor on queer eye cuz this bitch can not dress"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""bitch""
  ],
  ""cuss_words"": []
}"
the redskins is trending is there us teams also called the niggers spics kikes bitches or faggots asking for a friend,1,train,"{
  ""text"": ""the redskins is trending is there us teams also called the niggers spics kikes bitches or faggots asking for a friend"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""niggers"",
    ""spics"",
    ""kikes"",
    ""bitches"",
    ""faggots""
  ],
  ""cuss_words"": []
}"
<user> why are the immigrants being transported to low and middle class neighborhoods only,0,train,"{
  ""text"": ""<user> why are the immigrants being transported to low and middle class neighborhoods only"",
  ""rationales"": [
    ""immigrants"",
    ""low and middle class neighborhoods""
  ],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
<user> just shut up jihadi and whole country will burn you if you oppose,1,train,"{
  ""text"": ""<user> just shut up jihadi and whole country will burn you if you oppose"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""jihadi""
  ],
  ""cuss_words"": []
}"
this bitch be thinking she hit the lotto with that hoe ah nigga 😂,1,train,"{
  ""text"": ""this bitch be thinking she hit the lotto with that hoe ah nigga 😂"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""bitch"",
    ""hoe"",
    ""nigga""
  ],
  ""cuss_words"": [
    ""bitch"",
    ""hoe"",
    ""nigga""
  ]
}"
i tweet for the dykes and the dykes alone,1,train,"{
  ""text"": ""i tweet for the dykes and the dykes alone"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
<user> <user> are really so dumb to imply that these pigs were any significance to president trumps win last i checked the fbi had a total around <number> white trash losers that really not a lot quite saying they they actually helped because they didnt,1,train,"{
  ""text"": ""<user> <user> are really so dumb to imply that these pigs were any significance to president trumps win last i checked the fbi had a total around <number> white trash losers that really not a lot quite saying they they actually helped because they didnt"",
  ""rationales"": [
    ""president trumps win"",
    ""fbi""
  ],
  ""derogatory_language"": [
    ""pigs"",
    ""white trash losers""
  ],
  ""cuss_words"": [
    ""dumb""
  ]
}"
<user> im buying a pair in support of hoping to offend more muslims,1,train,"{
  ""text"": ""<user> im buying a pair in support of hoping to offend more muslims"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""muslims""
  ],
  ""cuss_words"": []
}"
we can not break for these hoes g code,1,train,"{
  ""text"": ""we can not break for these hoes g code"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""hoes""
  ],
  ""cuss_words"": []
}"
<user> people like you are supposed to be in the streets protesting and fighting for your rights coward wignats dindu nuffin ever except cry,1,train,"{
  ""text"": ""<user> people like you are supposed to be in the streets protesting and fighting for your rights coward wignats dindu nuffin ever except cry"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""coward"",
    ""wignats"",
    ""dindu""
  ],
  ""cuss_words"": [
    ""nuffin""
  ]
}"
<user> looks more like white trailer trash,1,train,"{
  ""text"": ""<user> looks more like white trailer trash"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""white trailer trash""
  ],
  ""cuss_words"": []
}"
women will hate your guts cause you a people person,0,train,"{
  ""text"": ""women will hate your guts cause you a people person"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
<user> i am fed up w this nigger,1,train,"{
  ""text"": ""<user> i am fed up w this nigger"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""nigger""
  ],
  ""cuss_words"": [
    ""nigger""
  ]
}"
<user> bottom <number> account on twitter how can u disrespect negro swan,1,train,"{
  ""text"": ""<user> bottom <number> account on twitter how can u disrespect negro swan"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""negro""
  ],
  ""cuss_words"": []
}"
the democratic party now openly is anti semitic and hates jews jexodus,1,train,"{
  ""text"": ""the democratic party now openly is anti semitic and hates jews jexodus"",
  ""rationales"": [
    ""democratic party"",
    ""jexodus""
  ],
  ""derogatory_language"": [
    ""anti semitic"",
    ""hates jews""
  ],
  ""cuss_words"": []
}"
weddings are gay as fuck,0,train,"{
  ""text"": ""weddings are gay as fuck"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""fuck""
  ]
}"
tw asians to the girl that made fun of me for having small eyes it ’ funny how your dog disappeared the day after bethany 🥢,1,train,"{
  ""text"": ""tw asians to the girl that made fun of me for having small eyes it ’ funny how your dog disappeared the day after bethany 🥢"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""asians"",
    ""girl"",
    ""small eyes""
  ],
  ""cuss_words"": [
    ""bethany""
  ]
}"
people on twitter will go fucking ballistic if you say something negative about their fat anime tits and say why are you judging me for what i like its wrong to judge people and then follow that up by calling you a faggot or something of the sort,0,train,"{
  ""text"": ""people on twitter will go fucking ballistic if you say something negative about their fat anime tits and say why are you judging me for what i like its wrong to judge people and then follow that up by calling you a faggot or something of the sort"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""faggot""
  ],
  ""cuss_words"": [
    ""fucking""
  ]
}"
<user> <user> you have <number> numbers in your and you called me a clown stfu retard,1,train,"{
  ""text"": ""<user> <user> you have <number> numbers in your and you called me a clown stfu retard"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""stfu"",
    ""retard""
  ]
}"
look at this bitch she can afford luxuries i hope she gets raped oh what that she was raped and murdered and the guy ate her tongue serves her right what a bitch,1,train,"{
  ""text"": ""look at this bitch she can afford luxuries i hope she gets raped oh what that she was raped and murdered and the guy ate her tongue serves her right what a bitch"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""bitch""
  ],
  ""cuss_words"": [
    ""raped"",
    ""murdered"",
    ""ate her tongue"",
    ""serves her right"",
    ""bitch""
  ]
}"
sex be so good a bitch be slow stroking and crying,1,train,"{
  ""text"": ""sex be so good a bitch be slow stroking and crying"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""bitch""
  ]
}"
he talking bout how you wake up thinking bout crab legs you so ghetto 😭 😭 😭 bitch shut up 🥴,0,train,"{
  ""text"": ""he talking bout how you wake up thinking bout crab legs you so ghetto 😭 😭 😭 bitch shut up 🥴"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""ghetto"",
    ""bitch""
  ]
}"
<user> because i ’ m not getting violated by <number> faggots who i would slaughter in real life,1,train,"{
  ""text"": ""<user> because i ’ m not getting violated by <number> faggots who i would slaughter in real life"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""faggots""
  ],
  ""cuss_words"": [
    ""slaughter""
  ]
}"
ugly women posting selfies is harassment,1,train,"{
  ""text"": ""ugly women posting selfies is harassment"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""ugly women""
  ],
  ""cuss_words"": []
}"
i ’ m happy i came up around whites imagine being raised in the ghetto,1,train,"{
  ""text"": ""i ’ m happy i came up around whites imagine being raised in the ghetto"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
i am fucking done with this bitch,1,train,"{
  ""text"": ""i am fucking done with this bitch"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""fucking"",
    ""bitch""
  ]
}"
you should go kill yourself for being a lesbian ew don ’ t think of me,1,train,"{
  ""text"": ""you should go kill yourself for being a lesbian ew don ’ t think of me"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""lesbian""
  ],
  ""cuss_words"": [
    ""kill"",
    ""yourself""
  ]
}"
assuming jeff already is a trillionaire if he was to be muslim he ’ d pay £ <number> billion zakat,1,train,"{
  ""text"": ""assuming jeff already is a trillionaire if he was to be muslim he ’ d pay £ <number> billion zakat"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
you can be ghetto and not be ratchet i ’ m ghetto for sure but fighting all the time is ugly,0,train,"{
  ""text"": ""you can be ghetto and not be ratchet i ’ m ghetto for sure but fighting all the time is ugly"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
these freshman in the bathroom having a blacks cypher 🥴 diploma me plz this shit ghetto dawg,1,train,"{
  ""text"": ""these freshman in the bathroom having a blacks cypher 🥴 diploma me plz this shit ghetto dawg"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""blacks"",
    ""ghetto""
  ],
  ""cuss_words"": [
    ""shit""
  ]
}"
y is big baby davis a faggot on shameless doe,1,train,"{
  ""text"": ""y is big baby davis a faggot on shameless doe"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""faggot""
  ],
  ""cuss_words"": []
}"
can not believe bitches really be out here watching the absolute pile of trash that is gl*e <censored> it me i am bitches,1,train,"{
  ""text"": ""can not believe bitches really be out here watching the absolute pile of trash that is gl*e <censored> it me i am bitches"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""bitches""
  ],
  ""cuss_words"": [
    ""gl*e""
  ]
}"
i have not said it enough but fuck white bitches,1,train,"{
  ""text"": ""i have not said it enough but fuck white bitches"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""white bitches""
  ],
  ""cuss_words"": [
    ""fuck""
  ]
}"
these hoes really be talking bout another hoe and still be in that hoe face,1,train,"{
  ""text"": ""these hoes really be talking bout another hoe and still be in that hoe face"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""hoes"",
    ""hoe""
  ],
  ""cuss_words"": []
}"
<user> but to have someone called singh make a towel head comment on national tv is next level,1,train,"{
  ""text"": ""<user> but to have someone called singh make a towel head comment on national tv is next level"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""singh"",
    ""towel head""
  ],
  ""cuss_words"": []
}"
<user> <user> drag this nigger for filth honey,0,train,"{
  ""text"": ""<user> <user> drag this nigger for filth honey"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""nigger""
  ],
  ""cuss_words"": []
}"
<user> hey faggot dm me,1,train,"{
  ""text"": ""<user> hey faggot dm me"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""faggot""
  ]
}"
<user> number of people being born under the poverty line all time high too but i guess let push for some retarded pseudo feminism,0,train,"{
  ""text"": ""<user> number of people being born under the poverty line all time high too but i guess let push for some retarded pseudo feminism"",
  ""rationales"": [
    ""people being born under the poverty line""
  ],
  ""derogatory_language"": [
    ""retarded""
  ],
  ""cuss_words"": []
}"
<user> she wanted some of that nigger d,1,train,"{
  ""text"": ""<user> she wanted some of that nigger d"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""nigger""
  ],
  ""cuss_words"": []
}"
